English,Anglish,Kind,Whence,Forebear,Foreword,Afterword,Background
Olgrim,Ulgrim,♂,Quickened,Ulfgrim,ulf,grim,See also: Woolgrim.
Ollie,Ully,♂,Living,-,ulf,-,"As an Anglish name, a shortening of names starting with ‘Ol-’. Found in English as a shortening of the name ‘Oliver’."
Olph,Ulf,♂,Quickened,Ulfa,ulf,-,See also: Wolph.
Olmer,Ulmer,♂,Quickened,Ulfmǣr,ulf,mǣr,See also: Woolmer.
Olnoth,Ulnoþ,♂,Quickened,Ulfnōþ,ulf,nōþ,See also: Woolnoth.
Olsey,Ulsey,♂,Quickened,Ulfsiġe,ƿulf,siġe,See also: Woolsey.
Olstan,Ulstan,♂,Quickened,Ulfstān,ƿulf,stān,See also: Woolstan.
Olvard,Ulfard,♂,Quickened,"Ulfheard, Ulfƿeard",ulf,"heard, ƿeard",Two Old English names that would likely have minged into one another over time.
Olvat,Ulfat,♂,Quickened,Ulfġēat,ulf,ġēat,Not tied to the name Juliet. See also: Woolvat.
Olvelm,Ulfelm,♂,Quickened,Ulfhelm,ulf,helm,See also: Woolvelm.
Olvey,Ulfey,♂,Quickened,"Ulfhēah, Ulfƿīġ",ulf,"hēah, ƿīġ",Two Old English names that would likely have minged into one another over time. See also: Woolvey.
Olverich,Ulferic,♂,Quickened,Ulfrīċ,ulf,rīċ,Can also be spelled: Olrich (from loss of ⟨v⟩ before a samedsweyend). See also: Woolrich.
Olvered,Ulfered,♂,Quickened,Ulfrǣd,ulf,rǣd,Can also be spelled: Olred (from loss of ⟨v⟩ before a samedsweyend). See also: Woolred.
Olvin,Ulvin,♂,Quickened,Ulfƿine,ulf,ƿine,See also: Woolvin.
Olvoak,Ulfoak,♂,Quickened,Ulfāc,ulf,āc,
